customer_id,region,amount,rating
C0001, South ,298.21,2
C0002, East ,361.39,1
C0003, West ,74.47,5
C0004, North ,93.78,5
C0005, South ,61.62,5
C0006, East ,201.08,1
C0007, West ,395.94,1
C0008, North ,224.19,5
C0009, South ,387.82,5
C0010, East ,120.18,2
C0011, West ,571.26,5
C0012, North ,853.46,5
C0013, South ,531.13,1
C0014, East ,878.87,1
C0015, West ,505.43,2
C0016, North ,267.75,2
C0017, South ,491.21,5
C0018, East ,284.55,2
C0019, West ,101.72,5
C0020, North ,578.63,3
C0021, South ,96.71,1
C0022, East ,512.29,5
C0023, West ,193.3,5
C0024, North ,390.56,3
C0025, South ,424.39,4
C0026, East ,331.81,2
C0027, West ,717.0,2
C0028, North ,82.85,3
C0029, South ,477.42,3
C0030, East ,659.21,3
C0031, West ,551.97,1
C0032, North ,115.08,4
C0033, South ,156.82,3
C0034, East ,145.27,4
C0035, West ,385.31,1
C0036, North ,690.47,5
C0037, South ,712.29,3
C0038, East ,312.71,3
C0039, West ,538.99,5
C0040, North ,719.23,1
C0041, South ,757.57,3
C0042, East ,431.95,1
C0043, West ,64.0,3
C0044, North ,585.94,4
C0045, South ,263.29,4
C0046, East ,799.47,3
C0047, West ,30.08,4
C0048, North ,326.36,5
C0049, South ,114.22,1
C0050, East ,204.2,3
C0051, West ,125.11,2
C0052, North ,364.13,4
C0053, South ,81.72,4
C0054, East ,367.46,3
C0055, West ,796.21,4
C0056, North ,778.95,3
C0057, South ,638.69,3
C0058, East ,617.62,4
C0059, West ,862.38,2
C0060, North ,83.86,2
C0061, South ,216.44,2
C0062, East ,20.74,5
C0063, West ,172.29,3
C0064, North ,13.64,4
C0065, South ,485.79,5
C0066, East ,514.04,2
C0067, West ,624.54,5
C0068, North ,855.7,1
C0069, South ,416.41,5
C0070, East ,359.22,4
C0071, West ,360.77,4
C0072, North ,574.52,1
C0073, South ,179.64,2
C0074, East ,402.16,1
C0075, West ,312.65,1
C0076, North ,101.12,5
C0077, South ,144.63,1
C0078, East ,854.56,5
C0079, West ,32.7,2
C0080, North ,556.52,2
C0081, South ,574.62,3
C0082, East ,546.03,4
C0083, West ,119.33,4
C0084, North ,893.86,4
C0085, South ,437.55,3
C0086, East ,86.44,1
C0087, West ,677.21,3
C0088, North ,435.97,2
C0089, South ,469.54,2
C0090, East ,856.38,5
C0091, West ,331.96,5
C0092, North ,823.59,5
C0093, South ,275.3,1
C0094, East ,629.62,3
C0095, West ,471.37,2
C0096, North ,326.57,2
C0097, South ,484.01,5
C0098, East ,303.4,2
C0099, West ,555.77,2
C0100, North ,727.41,4
C0101, South ,668.49,2
C0102, East ,187.93,4
C0103, West ,326.45,1
C0104, North ,890.75,3
C0105, South ,430.29,2
C0106, East ,626.34,3
C0107, West ,408.03,3
C0108, North ,859.95,3
C0109, South ,81.68,1
C0110, East ,211.89,2
C0111, West ,310.59,4
C0112, North ,565.42,5
C0113, South ,757.99,4
C0114, East ,819.19,3
C0115, West ,721.68,1
C0116, North ,752.84,1
C0117, South ,819.7,2
C0118, East ,435.45,2
C0119, West ,396.19,3
C0120, North ,87.21,4
C0001, South ,298.21,2
C0002, East ,361.39,1
